業種(飲食業）,業種（宿泊業）,施設名称,施設名称カナ,施設郵便番号,施設住所,施設住所(方書),認証日,施設住所市町村,緯度,経度
〇,,バロー　ホテルアーバングレイスグランB1,バロー　ホテルアーバングレイスグランB1,9900039,山形市香澄町1-18-12,,2021/8/16,山形市,38.25082569,140.3296625
〇,,はんあり酒家,ハンアリシュカ,9900031,山形市十日町2-4-30,,2021/8/6,山形市,38.24838444,140.3377348
〇,,バンコク,バンコク,9900039,山形市香澄町1-7-6,花笠ビル1F,2021/8/18,山形市,38.2485435,140.3297008
〇,,半兵ヱ　山形すずらん通り店,ハンベエ　ヤマガタスズランドオリテン,9900039,山形市香澄町2-10-2,香澄ビル1F,2021/8/6,山形市,38.24887063,140.3310442
〇,,番屋,バンヤ,9900032,山形市小姓町1-13,落合ビル1Ｆ,2021/9/7,山形市,38.24727883,140.3394265
〇,,Beer Storage,ビアストレージ,9900042,山形市七日町2-7-30,藤ビル 1F,2021/5/18,山形市,38.2530321,140.3405182
〇,,B1居酒屋なおチャン,ビーワンイザカヤナオチャン,9900039,山形市香澄町1-18-12,ホテルアーバングレイスグラン　地下1F,2021/9/21,山形市,38.25089889,140.329637
〇,,東屋BAR,ヒガシヤバー,9900039,山形市香澄町1-14-4,四釜ビル2F,2021/12/7,山形市,38.2492847,140.3296251
〇,,日月庵,ヒゲツアン,9900827,山形市城南町2-2-8,,2021/7/8,山形市,38.25122435,140.3242834
〇,,ピザカルボ　山形北桧町店,ピザカルボ　ヤマガタキタヒノキチョウテン,9900813,山形市桧町2-5-28,,2021/6/29,山形市,38.27566343,140.3320726
〇,,ピザカルボ　山形南館店,ピザカルボ　ヤマガタミナミダテテン,9902461,山形市南館5-7-33,,2021/6/11,山形市,38.23579207,140.3064378
〇,,biscuit records,ビスケットレコード,9900031,山形市十日町4-3-13 ,2F,2021/10/28,山形市,38.24487031,140.3342699
〇,,ビッグベア,ビッグベア,9902493,山形市美畑町3-47,,2021/6/24,山形市,38.23696726,140.3249367
〇,,ピッツァとワインのお店　フラム,ピッツァトワインノオミセ　フラム,9900042,山形市七日町1-4-27,,2021/6/1,山形市,38.253773,140.3394007
〇,,秀寿し,ヒデズシ,9900032,山形市小姓町8-29,,2021/6/8,山形市,38.2474441,140.3399737
〇,,飛天の風,ヒテンノカゼ,9900042,山形市七日町2-1-14-6,山形屋台村ほっとなる横丁8区画,2021/10/26,山形市,38.2521425,140.3393829
〇,,平田牧場ホテルメトロポリタン山形店,ヒラタボクジョウホテルメトロポリタンヤマガタテン,9900039,山形市香澄町1-1-1,ホテルメトロポリタン山形2F,2021/5/28,山形市,38.248504,140.3277342
〇,,ファイヤーキッチンわい藏,ファイヤーキッチンワイグラ,9900042,山形市七日町2-3-1,,2021/7/8,山形市,38.25152015,140.3402747
〇,,50's cocktail's bar Cool,フィフティーズカクテルズバークール,9900039,山形市香澄町1-5-15,2F,2021/6/9,山形市,38.2476685,140.3300274
〇,,フーズガーデン,フーズガーデン,9900039,山形市香澄町3-2-1,山交ビル地下1F,2021/6/7,山形市,38.24627616,140.3318009
〇,,food ＆ bar KABURETTA,フードアンドバー　カブレッタ,9900042,山形市七日町2-7-38,カジュアルプラザ1-B,2021/7/20,山形市,38.25243464,140.3404166
〇,,FOOD & BAR JAM,フードアンドバー　ジャム,9900042,山形市七日町4-10-2,,2021/7/30,山形市,38.2541323,140.3431311
〇,,フェイス,フェイス,9900042,山形市七日町4-1-30,ライトロードビル2F,2021/6/17,山形市,38.25205425,140.3420599
〇,,舞喜酔,ブキヨウ,9902483,山形市上町1-14-7,,2021/9/2,山形市,38.2431587,140.3182005
〇,,ふぐ料理　麒麟,フグリョウリ　キリン,9900047,山形市旅篭町3-3-28,,2021/6/15,山形市,38.2558509,140.3374158
〇,,双葉館,フタバカン,9900827,山形市城南町3-7-5,,2021/6/15,山形市,38.25082548,140.3209459
〇,,プチノエル,プチノエル,9900042,山形市七日町2-3-12,,2021/7/5,山形市,38.25206767,140.3408159
〇,,ぶどう酒食堂バッカナール,ブドウシュショクドウバッカナール,9900039,山形市香澄町1-11-8,1F,2021/7/20,山形市,38.24954653,140.3305299
〇,,ふもとや登山口店,フモトヤトザングチテン,9993301,山形市大字山寺4439,,2021/10/20,山形市,38.31164315,140.437459
〇,,ふもとや本店,フモトヤホンテン,9993301,山形市山寺4429,,2021/10/20,山形市,38.31180118,140.4365643
〇,,ブルーマーケット　本店,ブルーマーケット　ホンテン,9900039,山形市香澄町1-6-5,第二白樺ビル　2F,2021/8/11,山形市,38.2484614,140.3303465
〇,,ブルーマーケットブラザーズ,ブルーマーケットブラザーズ,9900039,山形市香澄町1-6-6,白樺ビル2階,2021/5/26,山形市,38.24830673,140.3304069
〇,,ふれ愛ダイニングKANOYA,フレアイダイニングカノヤ,9900039,山形市香澄町1-15-4,,2021/5/27,山形市,38.24939434,140.3290909
〇,,フローレス,フローレス,9900039,山形市香澄町1-4-5,,2021/7/8,山形市,38.2482616,140.3295082
〇,,文六鮨,ブンロクズシ,9900044,山形市木の実町1-27,,2021/7/30,山形市,38.25050961,140.3324466
〇,,平安典礼　セレモニーハート檜,ヘイアンテンレイ　セレモニーハートヒノキ,9900813,山形市桧町2-11-8,,2021/5/19,山形市,38.27753614,140.3321385
〇,,平安典礼　セレモニーハート緑,ヘイアンテンレイ　セレモニーハートミドリ,9900041,山形市緑町3-3-33,,2021/7/6,山形市,38.2494263,140.347786
〇,,平安典礼　セレモニーホール霞城,ヘイアンテンレイ　セレモニーホールカジョウ,9900834,山形市清住町3-4-34,,2021/6/9,山形市,38.25242996,140.313771
〇,,平安典礼　セレモニーホール大野目,ヘイアンテンレイ　セレモニーホールダイノメ,9900073,山形市大野目2-1-7,,2021/7/6,山形市,38.2782876,140.3560005
