業種(飲食業）,業種（宿泊業）,施設名称,施設名称カナ,施設郵便番号,施設住所,施設住所(方書),認証日,施設住所市町村,緯度,経度
,〇,黒沢温泉喜三郎,クロサワオンセンキサブロウ,9902311,山形市大字黒沢319-1,,2021/6/1,山形市,38.1896449,140.3047158
,〇,源泉付客室　浜泉,ゲンセンツキキャクシツ　ハマイズミ,9971201,鶴岡市湯野浜1-12-31,,2021/11/1,鶴岡市,38.7835137,139.7542276
,〇,源泉湯宿　蔵王プラザホテル,ゲンセンユヤド　ザオウプラザホテル,9902301,山形市蔵王温泉2,,2021/6/28,山形市,38.16984795,140.3972299
,〇,五感の湯つるや,ゴカンノユツルヤ,9902301,山形市蔵王温泉710,,2021/8/30,山形市,38.1675751,140.394181
,〇,国民宿舎　竜山荘,コクミンシュクシャ　リュウザンソウ,9902301,山形市蔵王温泉938-4,,2021/7/21,山形市,38.16421959,140.3932407
,〇,こころの宿　一龍,ココロノヤド　イチリョウ,9910031,寒河江市本町1-2-27,,2021/10/11,寒河江市,38.3741875,140.2731456
,〇,古山閣,コザンカク,9994333,尾花沢市大字銀山新畑423,,2021/11/11,尾花沢市,38.56999367,140.5307579
,〇,古勢起屋　別館,コセキヤ　ベッカン,9994333,尾花沢市大字銀山新畑417,,2021/9/24,尾花沢市,38.56965777,140.5315604
,〇,国家公務員共済組合連合会　蔵王保養所,コッカコウムインキョウサイクミアイレンゴウカイ　ザオウホヨウジョ　,9902301,山形市蔵王温泉904‐8,,2021/11/12,山形市,38.16546349,140.3948103
,〇,小林温泉,コバヤシオンセン,9996735,酒田市小林字杉沢117,,2021/5/8,酒田市,38.83325131,140.0102839
,〇,湖畔の宿　五色亭,コハンノヤド　ゴシキテイ,9900734,西川町大字志津120-1,,2021/7/12,西川町,38.49241575,139.9998534
,〇,コンフォートホテル天童,コンフォートホテルテンドウ,9940034,天童市本町1-2-7,,2021/8/20,天童市,38.35895451,140.3702735
,〇,コンフォートホテル山形,コンフォートホテルヤマガタ,9900039,山形市香澄町1-3-12,,2021/8/16,山形市,38.2479131,140.3295298
,〇,彩花亭　時代屋,サイカテイ　ジダイヤ,9993242,上山市葉山9-5,,2021/6/7,上山市,38.14830531,140.260926
,〇,蔵王アストリアホテル,ザオウアストリアホテル,9902301,山形市蔵王温泉字横倉外5,国有林236林班,2021/6/7,山形市,38.158016,140.396932
,〇,蔵王・和歌の宿わかまつや,ザオウウタノヤドワカマツヤ,9902301,山形市蔵王温泉951-1,,2021/6/7,山形市,38.16710605,140.3965552
,〇,蔵王エコー山荘,ザオウエコーサンソウ,9993114,上山市永野字蔵王山2561-1,,2021/7/20,上山市,38.1302421,140.3785196
,〇,蔵王国際ホテル,ザオウコクサイホテル,9902301,山形市蔵王温泉933,,2021/8/16,山形市,38.16264278,140.3969157
,〇,蔵王四季のホテル,ザオウシキノホテル,9902301,山形市蔵王温泉1272,,2021/5/8,山形市,38.16041076,140.3923294
,〇,ZAOセンタープラザ,ザオウセンタープラザ,9902301,山形市蔵王温泉903-2,,2021/5/31,山形市,38.16573756,140.3959077
,〇,蔵王つららぎの宿　花ゆらん,ザオウツララギノヤド　ハナユラン,9902301,山形市蔵王温泉878-12,,2021/8/5,山形市,38.1658446,140.3979959
,〇,蔵王ライザウッディロッジ,ザオウライザウッディロッジ,9993113,上山市蔵王坊平高原,,2021/6/28,上山市,38.12309368,140.4012544
,〇,堺屋森のホテル　ヴァルトベルク,サカイヤモリノホテルヴァルトベルク,9902301,山形市蔵王温泉清水坂889-1,,2021/6/8,山形市,38.16407445,140.3978182
,〇,栄屋ホテル,サカエヤホテル,9940024,天童市鎌田2-3-16,,2021/6/7,天童市,38.35701271,140.3877343
,〇,寒河江屋旅館,サガエヤリョカン,9993242,上山市葉山4-7,,2021/8/24,上山市,38.14835102,140.2635776
〇,〇,酒田　時を奏でる宿　若葉旅館,サカタ　トキヲカナデルヤド　ワカバリョカン,9980043,酒田市本町2-3-9,,2021/11/26,酒田市,38.91355996,139.8364799
,〇,酒田グリーンホテル,サカタグリーンホテル,9980043,酒田市本町1-6-10,,2021/5/25,酒田市,38.91233388,139.8378497
,〇,三木屋参蒼來,サギヤサンソウライ,9993243,上山市高松283,,2021/10/25,上山市,38.1481339,140.2645505
,〇,沢口旅館,サワグチリョカン,9980281,酒田市飛島字勝浦甲73,,2021/9/21,酒田市,39.1907102,139.5495656
,〇,しおさい荘,シオサイソウ,9997126,鶴岡市鼠ヶ関乙45,,2021/6/25,鶴岡市,38.55715791,139.5458203
〇,〇,四季の里　幸新館,シキノサト　コウシンカン,9920351,高畠町高畠3701,,2021/5/21,高畠町,38.0043657,140.1977517
