業種(飲食業）,業種（宿泊業）,施設名称,施設名称カナ,施設郵便番号,施設住所,施設住所(方書),認証日,施設住所市町村,緯度,経度
〇,,焼肉専門店　翠苑本店,ヤキニクセンモンテン　スイエンホンテン,9980012,酒田市下安町19-2,,2021/11/22,酒田市,38.93057932,139.8569251
〇,,焼肉ダイニング　りんご苑長井店,ヤキニクダイニング　リンゴエンナガイテン,9930013,長井市館町南3999-1,,2021/6/28,長井市,38.09473187,140.0417786
〇,,焼肉ダイニング牛村,ヤキニクダイニングウシムラ,9993512,河北町谷地中央4-7-10,,2021/8/6,河北町,38.41580954,140.3113458
〇,,焼肉団欒さじろ,ヤキニクダンランサジロ,9910048,寒河江市みずき1-6-1,,2021/10/8,寒河江市,38.3663105,140.2820239
〇,,焼肉厨房　ソウル館,ヤキニクチュウボウ　ソウルカン,9920351,高畠町大字高畠410-10,,2021/9/3,高畠町,38.00136991,140.1942318
〇,,焼肉処　豊,ヤキニクドコロ　ユタカ,9940013,天童市老野森1-11-18,,2021/11/12,天童市,38.36459356,140.3800954
〇,,焼肉ハウス金鶴,ヤキニクハウスカネツル,9994225,尾花沢市若葉町2-1-22,,2021/10/29,尾花沢市,38.6014634,140.4088853
〇,,焼肉ハウスもらんぼん,ヤキニクハウスモランボン,9992211,南陽市赤湯1013,,2021/10/5,南陽市,38.05014903,140.1681364
〇,,焼肉はしもと,ヤキニクハシモト,9930082,長井市舟場21-17,,2021/9/17,長井市,38.11720264,140.0426363
〇,,焼肉日和,ヤキニクビヨリ,9993719,東根市中央西7-30,,2021/12/14,東根市,38.43927028,140.3917862
〇,,焼肉ムサシ,ヤキニクムサシ,9910063,寒河江市幸町1-35,フロイデビル1F　A号室,2021/7/30,寒河江市,38.37218595,140.2760063
〇,,焼肉明月,ヤキニクメイゲツ,9920045,米沢市中央2-7-28,,2021/9/6,米沢市,37.91517914,140.1077783
〇,,焼肉名匠　山牛　寒河江本店,ヤキニクメイショウ　ヤマギュウ　サガエホンテン,9910031,寒河江市本町3-9-2,,2021/9/10,寒河江市,38.37657718,140.2748391
〇,,焼肉夕月,ヤキニクユウヅキ,9990604,飯豊町椿1794,,2021/9/14,飯豊町,38.04541206,139.9896158
〇,,焼肉横浜ありらん亭,ヤキニクヨコハマアリランテイ,9970015,鶴岡市末広町29-23,,2021/7/21,鶴岡市,38.74104061,139.8415169
〇,,焼肉　千山閣,ヤクニク　センザンカク,9970814,鶴岡市城南15-1,,2021/12/1,鶴岡市,38.70968836,139.8328881
〇,,安兵衛寿し,ヤスベエズシ,9970034,鶴岡市本町1-8-14,,2021/10/13,鶴岡市,38.72579638,139.8321494
〇,,やすらぎホールさかた,ヤスラギホールサカタ,9988510,酒田市曙町1-9-10,,2021/9/27,酒田市,38.9195069,139.8597312
〇,,やすらぎホールみどり,ヤスラギホールミドリ,9998435,遊佐町庄泉字神子免8-3,,2021/10/1,遊佐町,39.0113095,139.8866462
〇,,野生酵母Pizzeria桜丸,ヤセイコウボピッツェリアサクラマル,9992231,南陽市二色根513-3,,2021/10/21,南陽市,38.05514671,140.1581041
〇,,八千代食堂,ヤチヨショクドウ,9993143,上山市二日町7-10,,2021/10/13,上山市,38.1540198,140.2760211
〇,,山内農場　さくらんぼ東根東口駅前店,ヤマウチノウジョウ　サクランボヒガシネヒガシグチエキマエテン,9993720,東根市さくらんぼ駅前2-1-7,第二柴田ビル1F・2F,2021/11/10,東根市,38.42908588,140.3835586
〇,,やまがた辛味噌らーめん　三男坊,ヤマガタカラミソラーメン　サンナンボウ,9920012,米沢市金池5-8-84,,2021/10/22,米沢市,37.92310577,140.1175941
〇,,山形県産BAR　YOPIKARI,ヤマガタケンサンバーヨピカリ,9993292,上山市葉山5-20,日本の宿　古窯,2021/9/22,上山市,38.14818543,140.2612657
〇,,山形ゴルフ俱楽部レストラン,ヤマガタゴルフクラブレストラン,9900341,山辺町大字大蕨3197-1,,2021/12/14,山辺町,38.275976,140.2044683
〇,,山形さくらんぼ鶏　鶏や　新庄駅前店,ヤマガタサクランボトリ　トリヤ　シンジョウエキマエテン,9960023,新庄市沖の町2-28,第1ビル1F,2021/8/18,新庄市,38.76243446,140.3049424
〇,,山形そば居酒屋　七色,ヤマガタソバイザカヤ　ナナイロ,9940025,天童市鎌田本町1-3-15,天童温泉と横丁内,2021/8/20,天童市,38.360111,140.3814255
〇,,山形プリン,ヤマガタプリン,9993242,上山市葉山4‐33,,2021/8/17,上山市,38.14744071,140.2616295
〇,,山形麵屋　殿,ヤマガタメンヤ　シンガリ,9950017,村山市楯岡十日町4-37,,2021/8/6,村山市,38.481215,140.3892872
〇,,山形屋やじろべえ,ヤマガタヤヤジロベエ,9930007,長井市本町1-8-10,MロフトⅡビル2F,2021/9/2,長井市,38.10583503,140.0378675
〇,,山川屋,ヤマカワヤ,9992211,南陽市赤湯497,,2021/10/25,南陽市,38.04875092,140.1676416
〇,,山口食堂,ヤマグチショクドウ,9994226,尾花沢市新町中央2-39,,2021/11/4,尾花沢市,38.60554345,140.4060272
〇,,やまご食堂,ヤマゴショクドウ,9990121,川西町上小松3167,,2021/8/16,川西町,38.004428,140.0398749
〇,,山辺温泉保養センター（山辺温泉食堂）,ヤマノベオンセンホヨウセンター（ヤマノベオンセンショクドウ）,9900323,山辺町大字大塚字近江801,,2021/8/27,山辺町,38.27955708,140.2751487
〇,,やまや食堂,ヤマヤショクドウ,9996211,最上町大字大堀878,,2021/7/20,最上町,38.75509702,140.4113423
〇,,友～友,ユ～ユ,9992211,南陽市赤湯720,プレイタウンビル1階Ⅽ,2021/8/6,南陽市,38.04901152,140.1683117
〇,,ゆうが,ユウガ,9940064,天童市中里5-4-10,,2021/12/2,天童市,38.32708865,140.3610992
〇,,遊行庵,ユウギョウアン,9993171,上山市狸森322-1,,2021/8/26,上山市,38.1898371,140.2423501
〇,,(有)魚河岸寿司,ユウゲンガイシャ　ウオガシスシ,9910003,寒河江市西根上川原231-2,,2021/11/8,寒河江市,38.3952224,140.2792572
〇,,有限会社　大井餅や,ユウゲンガイシャ　オオイモチヤ,9971301,三川町大字横山字横山220,,2021/11/18,三川町,38.7785994,139.8476363
〇,,有限会社　叶内冷菓,ユウゲンガイシャ　カノウチレイカ,9960072,新庄市宮内町5-21,,2021/9/9,新庄市,38.75975128,140.2950918
〇,,有限会社　こい勢,ユウゲンカイシャ　コイセ,9980032,酒田市相生町1-3-25,,2021/11/15,酒田市,38.92011026,139.8425637
〇,,（有）栄寿司,ユウゲンガイシャ　サカエズシ,9910023,寒河江市丸内1-1-24,,2021/7/15,寒河江市,38.3770209,140.2785311
〇,,有限会社　十五屋本店,ユウゲンガイシャ　ジュウゴヤホンテン,9993153,上山市十日町1-13,,2021/11/2,上山市,38.1559777,140.2773118
