業種(飲食業）,業種（宿泊業）,施設名称,施設名称カナ,施設郵便番号,施設住所,施設住所(方書),認証日,施設住所市町村,緯度,経度
〇,,居酒屋　ゆあーず,イザカヤ　ユアーズ,9920027,米沢市駅前1-1-63,,2021/10/11,米沢市,37.90780342,140.12817
〇,,居酒屋　夕べ,イザカヤ　ユウベ,9910031,寒河江市本町1-5-21,,2021/7/21,寒河江市,38.37336529,140.276026
〇,,居酒屋　遊らく,イザカヤ　ユラク,9900861,山形市江俣5-3-39,,2021/9/13,山形市,38.2788662,140.314158
〇,,居酒屋　芳屋,イザカヤ　ヨシヤ,9900039,山形市香澄町3-1-27,2F,2021/6/11,山形市,38.2469966,140.3300128
〇,,居酒屋　より道,イザカヤ　ヨリミチ,9970813,鶴岡市千石町7-35,,2021/7/28,鶴岡市,38.7168546,139.8305423
〇,,居酒屋　夜の靴,イザカヤ　ヨルノクツ,9997548,鶴岡市みずほ23-1,,2021/6/29,鶴岡市,38.71139781,139.7353299
〇,,居酒屋　れんがや,イザカヤ　レンガヤ,9960025,新庄市若葉町17-8,,2021/9/9,新庄市,38.76180529,140.3019586
〇,,居酒屋　六歌仙,イザカヤ　ロッカセン,9980023,酒田市幸町2-3-2,,2021/6/21,酒田市,38.92134465,139.8443133
〇,,居酒家　和多利,イザカヤ　ワタリ,9997781,庄内町余目字上猿田189-5,,2021/9/27,庄内町,38.84612993,139.9055282
〇,,居酒屋　和利勘,イザカヤ　ワリカン,9900054,山形市六日町7-21,,2021/8/20,山形市,38.25831847,140.3433925
〇,,居酒屋「かなりあ」,イザカヤ「カナリア」,9980037,酒田市日吉町1-3-30,,2021/6/28,酒田市,38.92040439,139.8330793
〇,,居酒屋一歩,イザカヤイッポ,9997781,庄内町余目字上猿田15-10,,2021/11/2,庄内町,38.84563904,139.9069964
〇,,居酒屋うらら,イザカヤウララ,9960025,新庄市若葉町17-63,,2021/6/22,新庄市,38.76190487,140.3018475
〇,,居酒屋えん,イザカヤエン,9920045,米沢市中央1-14-1,,2021/10/22,米沢市,37.91333606,140.1099974
〇,,居酒屋かかし,イザカヤカカシ,9993231,上山市石堂1-1,,2021/8/17,上山市,38.14646636,140.2783096
〇,,居酒屋隠れ家,イザカヤカクレガ,9900042,山形市七日町2-4-3,,2021/11/2,山形市,38.2524842,140.3411617
〇,,居酒屋割烹　はやし家,イザカヤカッポウ　ハヤシヤ,9900039,山形市香澄町1-21-24,,2021/7/5,山形市,38.24990999,140.331305
〇,,居酒屋カラオケ　ソウル　ソウル,イザカヤカラオケ　ソウル　ソウル,9992211,南陽市赤湯766-1　,第2湯の町ビル1F,2021/9/9,南陽市,38.04901882,140.1679166
〇,,居酒屋くぼた,イザカヤクボタ,9902481,山形市あかねヶ丘1-12-7,,2021/7/29,山形市,38.24804529,140.3132825
〇,,居酒屋　くる味,イザカヤクルミ,9900039,山形市香澄町3-5-17,,2021/8/3,山形市,38.24615772,140.3303939
〇,,居酒屋　高太郎,イザカヤコウタロウ,9993142,上山市沢丁7-10,,2021/8/6,上山市,38.15562113,140.2746351
〇,,居酒屋旬肴　ろじうら,イザカヤシュンキ　ロジウラ,9900042,山形市七日町4-15-38,,2021/5/13,山形市,38.25412819,140.3438597
〇,,居酒屋しょうじ,イザカヤショウジ,9997781,庄内町余目字三人谷地4,,2021/10/19,庄内町,38.8458245,139.9080348
〇,,居酒屋・スナック　R（あーる）,イザカヤスナック　アール,9900039,山形市香澄町1-4-7,清野ビル2F,2021/8/23,山形市,38.24810558,140.3296373
〇,,居酒屋スナック　千慧,イザカヤスナック　チエ,9900042,山形市七日町4-11-4,ナイトイン花小路西1F,2021/8/18,山形市,38.2539403,140.3442144
〇,,居酒屋・Snack・Cafe・Barアートシーン,イザカヤスナックカフェバーアートシーン,9900032,山形市小姓町3-8,ビルドサカイ1-C,2021/10/11,山形市,38.24713465,140.3397912
〇,,居酒屋スナックわらべ,イザカヤスナックワラベ,9900042,山形市七日町3-3-11,,2021/7/20,山形市,38.25422008,140.3417786
